emp_no,first_name,last_name,from_date,title,salary
79087,Marke,Vigier,2002-03-18,Engineer,40000
79090,Shigenori,Rajaraman,1991-10-09,Senior Engineer,44958
79091,Kagan,Heuser,1992-12-12,Senior Staff,69379
79092,Kaijung,Keohane,1995-08-12,Senior Staff,58019
79093,Shahab,Bridgland,1998-10-21,Staff,65406
79100,Kiyotoshi,Schlegelmilch,1993-10-28,Senior Staff,71551
79102,Neven,Coullard,1994-07-08,Staff,70517
79110,Aiichiro,Vecchi,1998-07-28,Engineer,71332
79114,Jessie,Baranowski,1995-11-17,Engineer,70617
79117,Selwyn,Coors,1985-06-14,Senior Engineer,40000
79119,Navid,Maccarone,1995-07-24,Senior Engineer,50158
79121,Satoru,Greibach,1997-12-15,Senior Staff,75859
79130,Yagil,Falck,1999-11-15,Senior Staff,40000
79131,Tayeb,Speer,1996-04-29,Engineer,56922
79138,Jaihie,Lipner,1996-02-12,Engineer,59710
79140,Huiqun,Gyorkos,1994-03-05,Senior Engineer,40000
79145,Oscar,Domenig,1992-06-26,Senior Staff,62064
79154,Nevio,Meriste,1997-10-11,Senior Engineer,41356
79156,Mario,Rosti,1995-02-11,Senior Engineer,44107
79158,Georgi,Merro,1996-04-08,Senior Staff,40000
79163,Cedric,Ouhyoung,1999-02-06,Senior Engineer,45392
79165,Weiwu,Munos,1998-02-12,Senior Engineer,40000
79170,Sandeepan,Pauthner,1997-07-21,Senior Staff,81080
79177,Mooi,Herbst,1988-12-15,Technique Leader,45864
79178,Danae,Worfolk,1992-01-14,Senior Engineer,53203
79183,Mingsen,Lamba,1985-02-27,Senior Staff,40000
79187,Muzhong,Lanphier,1998-06-24,Senior Engineer,44106
79199,Jianwen,Luef,1997-10-30,Staff,72543
79200,Shigehiro,Siegrist,1997-09-10,Staff,40000
79202,Chikara,Rebaine,1999-08-06,Senior Engineer,59316
79203,Gilbert,Reinhart,1989-08-18,Senior Engineer,40000
79204,Juyoung,Lund,1995-03-12,Senior Staff,57667
79209,Bezalel,Kenevan,1999-09-29,Staff,40000
79210,Mansur,Antonakopoulos,1991-09-19,Senior Engineer,63966
79218,Rosita,Luce,1998-08-10,Engineer,40000
79219,Yaghout,Irland,1986-05-27,Senior Engineer,47272
79245,Tonny,McDermid,1997-06-05,Engineer,68638
79247,Yinlin,Beetstra,2000-12-07,Senior Engineer,40000
79251,Gennady,Taubenfeld,1993-05-27,Senior Staff,63154
79254,Takahiro,Cummings,2002-02-01,Senior Engineer,40000
79264,Chaosheng,Demizu,1994-12-03,Senior Engineer,46541
79265,Lokesh,Kenevan,1994-08-14,Senior Staff,40000
79267,Chinhyun,Rebaine,1993-11-12,Senior Engineer,44868
79269,Conal,Soloway,1999-09-14,Engineer,60956
79273,Emran,Szmurlo,1998-08-16,Senior Staff,47358
79275,Perry,Perry,2002-04-21,Senior Staff,65368
79277,Perla,Underwood,1999-06-03,Senior Staff,40000
79280,Bokyung,Snyers,1997-10-09,Senior Staff,71083
79285,Bingning,Lieblein,1997-09-26,Engineer,49127
79290,Mohit,Perelgut,1997-08-07,Engineer,41408
79293,Utpal,Schwaller,1994-07-15,Technique Leader,55625
79297,Vasiliy,Hainaut,2000-09-06,Senior Engineer,71444
79313,Mayuri,Champarnaud,1996-08-22,Staff,40771
79314,Hugo,Cappelletti,1998-12-28,Staff,53303
79320,Hausi,Ramsay,1994-04-10,Senior Engineer,72590
79323,Zhiwei,Feinberg,1989-09-05,Senior Staff,56854
79338,Boaz,Kading,1997-05-11,Engineer,40000
79339,Khoa,Coney,2000-05-11,Senior Engineer,40483
79348,Mari,Gire,1985-04-07,Technique Leader,40000
79350,Jovan,Lampe,1999-01-02,Senior Engineer,78005
79351,Saeed,Khasidashvili,1997-09-16,Engineer,40000
79358,Weiyi,Ratzlaff,1998-09-08,Engineer,69067
79367,Shir,Kandlur,2001-10-30,Engineer,56407
79369,Jianwen,Collette,1995-10-22,Staff,58015
79370,Aleksander,Veccia,1993-09-04,Engineer,40000
79375,Willard,Hartvigsen,2000-06-27,Senior Staff,40000
79376,Faiza,Kragelund,1996-11-03,Senior Staff,40000
79390,Bernt,Shigei,1999-08-02,Staff,57482
79391,Gritta,Garnham,1993-03-15,Senior Engineer,40000
79393,Ziyad,Validov,1997-02-04,Staff,68825
79397,Xumin,Luce,1999-11-02,Engineer,51948
79401,Zvonko,Bage,2001-07-07,Senior Staff,40000
79406,Kokou,Brlek,1989-04-07,Senior Engineer,40000
79409,Kayoko,Pluym,1988-09-04,Senior Engineer,40000
79411,Akemi,Beidas,1998-10-24,Senior Staff,57780
79417,Sugwoo,Rindone,1998-10-20,Engineer,73133
79419,Zorica,Gajiwala,2000-11-18,Senior Engineer,59239
79428,Brigham,Murthy,2001-06-13,Senior Engineer,44184
79429,Koldo,Swab,1996-08-28,Engineer,50826
79432,Younwoo,Gerteisen,1996-12-31,Senior Staff,45866
79434,Claudi,Byoun,1985-08-15,Senior Engineer,54486
79436,Theron,Colorni,2000-03-15,Senior Staff,64252
79438,Abdelaziz,Matzel,1999-09-01,Staff,55420
79442,Yannis,McClurg,2002-02-28,Senior Staff,91919
79446,Filipe,Pettis,1988-05-10,Technique Leader,47898
79449,Tonny,Stavenow,1995-06-29,Engineer,40000
79451,Chanjung,Chvatal,1996-09-29,Technique Leader,40000
79456,Evgueni,Nations,2002-04-24,Senior Staff,45163
79460,Utpal,Weedman,1998-07-19,Technique Leader,40000
79463,Mizuhito,Hennebert,1991-10-26,Senior Staff,54552
79468,Mayuko,Talmor,1998-04-21,Senior Staff,48140
79470,Sadegh,Schmittgen,2002-01-23,Senior Engineer,56510
79473,Denny,Ellozy,1985-10-24,Technique Leader,51708
79477,Teruyuki,Gronowski,1992-02-08,Senior Staff,40000
79484,Zhongwei,Gammage,1994-09-11,Senior Staff,78412
79486,Mitchel,Garigliano,2000-01-21,Senior Engineer,60434
79488,Yolla,Shumilov,1985-10-28,Senior Engineer,50039
79498,Hilari,Mapelli,1997-02-28,Senior Staff,69185
79499,Qingxiang,Erman,1996-04-29,Senior Staff,40000
79505,Sariel,Farrel,2001-06-24,Senior Engineer,63233
79509,Vitaly,Akiyama,1994-05-24,Senior Staff,96991
79514,Eishiro,DuBourdieux,2000-03-03,Engineer,50534
79515,Qiwen,Smeets,1996-04-13,Engineer,40000
79530,Muzhong,Naudin,1999-09-28,Staff,44021
79533,Valery,Axelband,1998-04-16,Engineer,40000
79543,Nobuyoshi,Unni,1998-09-11,Senior Staff,51247
79544,Martial,Restivo,1998-03-01,Senior Staff,51625
79546,Ishfaq,Heydon,2001-09-20,Engineer,62241
79548,Morris,Anguita,1999-02-22,Staff,45447
79553,Sadegh,Haddadi,2001-05-13,Senior Staff,40000
79563,Golgen,Chleq,2000-04-24,Senior Staff,69643
79566,Fumino,Peron,2000-08-13,Senior Staff,89076
79567,Karoline,Willoner,2000-04-22,Senior Engineer,51546
79570,Dmitry,Haddadi,2001-01-03,Senior Staff,45148
79582,Henk,Benner,1998-08-04,Senior Engineer,52556
79590,Jiakeng,Ariola,1996-08-08,Senior Staff,40635
79602,Kwun,Ballarin,1996-10-18,Staff,40000
79612,Jaewon,Monarch,1990-11-07,Senior Engineer,40000
79613,Akemi,Rosaz,1998-09-02,Senior Engineer,55142
79614,Fumiko,Engberts,2001-09-14,Senior Staff,64808
79616,Dinah,Aloisi,2002-04-03,Senior Engineer,64960
79628,Arlette,Terlouw,2000-02-07,Senior Engineer,44315
79631,Yucel,Merli,1995-04-28,Senior Engineer,42303
79639,Moto,McClurg,1997-02-23,Senior Engineer,46031
79643,Georgy,Lukaszewicz,1996-08-15,Engineer,40000
79644,Radoslaw,Lindenbaum,1985-11-03,Technique Leader,40000
79648,Domenick,Jansen,1998-05-17,Senior Engineer,67783
79651,Dines,Schapire,1998-08-01,Engineer,47095
79656,Howell,Fiebach,1999-06-29,Engineer,42624
79659,Nitsan,Denis,1995-04-01,Senior Engineer,45645
79668,Kyoichi,Eterovic,1991-02-04,Technique Leader,40000
79669,Premsyl,Meszaros,1996-07-02,Assistant Engineer,44222
79672,Alejandra,Wrigley,2002-01-30,Senior Engineer,50664
79674,Werner,Atchley,2002-06-24,Senior Staff,40000
79681,Demin,Panwar,1997-04-11,Senior Engineer,41548
79684,JiYoung,Janocha,1988-12-25,Senior Staff,64447
79687,Parke,Angiulli,1996-11-26,Senior Engineer,66911
79688,Gift,Billingsley,1991-12-23,Senior Engineer,56991
79693,Eberhardt,Kropf,1999-11-09,Senior Engineer,46929
79695,Magdalena,Onuegbe,1997-09-07,Engineer,45330
79696,Gopalakrishnan,Vadhan,2000-10-16,Senior Engineer,55778
79699,Xuejia,Marzano,1999-05-10,Engineer,49623
79703,Remco,Einsfeld,1996-05-11,Senior Engineer,49181
79704,Ipke,Neiman,2001-07-01,Engineer,48603
79708,Yechiam,Baak,1988-03-07,Senior Staff,43736
79718,Yinlin,Luft,1999-11-20,Staff,40000
79729,Filipp,Pocchiola,2001-02-10,Senior Staff,74975
79735,Hideo,Conti,1989-08-06,Technique Leader,40000
79748,George,Beutelspacher,1992-04-10,Senior Engineer,40000
79750,Jongsuk,Benzmuller,1995-08-29,Senior Staff,40000
79757,Subir,Seiwald,2002-02-18,Senior Staff,79139
79758,Adil,Pettit,1995-09-26,Staff,88840
79759,Luise,Back,2001-04-03,Senior Staff,65787
79761,Prasadram,Encarnacion,1985-12-25,Senior Engineer,47466
79765,Gonzalo,Danecki,1992-06-03,Senior Staff,55420
79766,Fox,Swiler,1994-12-01,Engineer,40000
79770,Unal,Skafidas,1992-10-07,Technique Leader,56155
79771,Subbu,Erde,1994-12-16,Staff,40000
79772,Xiaoqiu,Gulik,1987-11-13,Senior Staff,69129
79775,Saeko,Riesenhuber,1992-06-29,Technique Leader,57991
79779,Stella,Orlowska,1991-09-01,Senior Engineer,40000
79783,Thodoros,Szilard,2001-08-08,Senior Engineer,67885
79786,Rutger,Candan,2000-01-12,Senior Engineer,41958
79789,Kotesh,Crelier,1997-04-13,Senior Engineer,40000
79794,Yaghout,Rissland,1987-08-31,Senior Staff,41327
79795,Visit,Milicic,1999-07-03,Senior Engineer,40000
79810,Shrikanth,Denos,2002-03-17,Senior Staff,57980
79811,Tze,Krohm,1995-02-27,Senior Staff,40000
79822,Juichirou,Wuwongse,1997-09-15,Engineer,40000
79833,Yongdong,Homond,2000-05-17,Senior Engineer,40687
79834,Guiseppe,Wuwongse,1995-11-12,Senior Staff,68288
79837,Yakichi,Hagimont,2001-10-23,Senior Staff,40000
79839,Khue,Bolotov,1994-10-06,Senior Engineer,45102
79855,Gudjon,Constantine,1988-04-08,Senior Engineer,45522
79858,Mansur,Marzano,1991-02-22,Senior Engineer,43004
79875,Teunis,Seghrouchni,2001-07-11,Senior Engineer,40000
79876,Randy,Feinberg,1993-05-08,Senior Staff,45595
79877,Shaowei,Zlotek,1998-06-27,Engineer,45352
79879,Masako,Schaap,1998-10-29,Senior Staff,40000
79883,Surveyors,Baak,1999-11-04,Senior Staff,83903
79900,Mong,Luck,1994-06-08,Senior Staff,40000
79902,Kensei,Marciano,2000-07-03,Senior Engineer,40000
79906,Tomoyuki,Waterhouse,1997-07-05,Senior Staff,53526
79910,Gad,Honglei,1985-03-12,Senior Staff,77027
79911,Heather,Zaumen,1999-11-14,Senior Engineer,40000
79921,Hatim,Cochrane,1997-02-04,Senior Engineer,40000
79946,Guadalupe,Brattka,1998-02-03,Senior Staff,51364
79947,Leif,Baezner,2001-12-07,Engineer,48950
79954,Kagan,Kandlur,1991-09-04,Senior Engineer,43449
79955,Caolyn,Rettelbach,1998-11-27,Engineer,50723
79958,Xinglin,Versino,2000-02-13,Senior Engineer,44663
79961,Rosalyn,Luks,2000-01-08,Staff,76914
79962,Maik,Heping,2000-01-30,Technique Leader,40000
79967,Jessie,Gadepally,1996-09-05,Engineer,55316
79972,Abdelghani,Thummel,1996-06-03,Senior Staff,40000
79973,Zine,Socorro,1999-01-05,Senior Staff,58515
79977,Abdelaziz,Gunderson,1995-10-28,Senior Engineer,53165
79979,Yunming,Papsdorf,1991-12-29,Senior Engineer,69991
79985,Mong,Hartvigsen,1998-09-16,Senior Staff,64713
79990,Behnaam,Erev,1997-03-27,Senior Staff,62571
79991,Yahiko,Czap,1994-08-09,Senior Engineer,40000
79999,Chuanti,Jakobus,1995-08-21,Senior Engineer,53653
80012,Tommaso,Iwayama,1998-05-09,Senior Engineer,40000
80013,Lidong,Ouhyoung,1999-03-29,Staff,40000
80024,Maja,Pfau,1998-09-25,Senior Staff,40000
80029,Kenroku,Hofmeyr,2000-03-12,Senior Staff,67902
80031,Wayne,Bach,1992-05-14,Senior Engineer,60298
80032,Yurij,Isaac,1991-08-29,Senior Staff,71546
80037,Nimmagadda,Kirkerud,1993-10-05,Staff,68262
80038,Vitaly,Gewali,1986-01-24,Technique Leader,54900
80041,Teiji,Walstra,1999-03-28,Staff,54896
80046,Zhanqiu,Yemenis,1996-10-17,Engineer,57292
80047,Akhilish,Kropp,1995-03-21,Senior Staff,40000
80049,Minghong,Bardell,1996-08-19,Engineer,40000
80056,Marsha,Marrevee,2000-08-12,Senior Engineer,40000
80062,Masamitsu,Antonisse,1997-02-13,Assistant Engineer,40000
80068,Gretta,Zwicker,1999-03-06,Staff,40000
80069,Jiakeng,Murtha,1994-01-06,Senior Engineer,44620
80070,Mana,Thisen,1996-11-27,Senior Staff,61825
80072,Erzsebet,Kampfer,1997-05-15,Staff,40000
80076,Pradeep,Puoti,1996-10-29,Senior Staff,58641
80079,Danny,Wissmann,1991-10-21,Senior Engineer,62560
80083,Badri,Chiola,1997-10-08,Senior Staff,73466
80084,Menkae,Eastman,1994-06-05,Senior Staff,66552
80087,Gully,Mitchem,1991-08-01,Technique Leader,72886
80092,Yucel,Wilharm,1998-10-07,Senior Engineer,76550
80098,True,Kusakabe,1993-10-01,Senior Staff,53636
80100,Van,Gomatam,1998-03-19,Staff,40000
80103,Ottavia,Mikschl,1995-03-07,Senior Staff,40000
80105,Rafols,Irland,1998-02-21,Staff,62537
80106,Subhankar,Erde,1996-08-16,Engineer,43686
80112,Mack,Erdmenger,1997-01-19,Senior Engineer,71794
80123,Peer,Farrar,2002-06-17,Senior Staff,55236
80128,Genta,Ushiama,1997-09-04,Senior Engineer,40000
80129,Hairong,Fargier,1997-09-06,Senior Staff,56879
80130,Jinya,Waschkowski,1985-08-19,Senior Staff,59967
80131,Gill,Schurmann,1998-10-04,Staff,40000
80132,Nidapan,Hedayat,1996-11-26,Senior Engineer,46989
80136,Gaurav,Berstel,1994-12-26,Senior Engineer,57680
80137,Kiyokazu,Vuskovic,2001-02-24,Senior Staff,51393
80144,Boutros,Dechter,1993-05-27,Senior Engineer,44917
80146,Kristina,Carrere,1999-01-18,Senior Engineer,41274
80151,Willard,Swen,1999-01-15,Senior Staff,81666
80152,Suvo,Anguita,1996-06-22,Senior Staff,47391
80155,Susumu,Uhrik,2001-09-19,Senior Staff,48231
80156,Terresa,Pleszkun,1995-10-14,Senior Engineer,40000
80157,Ingmar,Herber,1993-08-01,Senior Staff,41519
80159,Jiafu,Rijckaert,1998-08-22,Senior Staff,40000
80160,Nigel,Oberman,1994-01-12,Technique Leader,40000
80166,Monique,Murrill,1994-02-12,Senior Engineer,64575
80171,Kshitij,Zykh,1985-10-08,Technique Leader,40000
80175,Ziya,Bernatsky,1999-08-28,Senior Engineer,40000
80183,Mats,Munke,1998-04-11,Senior Staff,66573
80184,Pintsang,Couchot,1986-01-31,Senior Staff,45100
80186,Tayeb,Huttel,1997-05-14,Senior Engineer,60850
80195,Sorina,Peral,1992-04-13,Senior Staff,40000
80198,Yefim,Anger,1985-04-02,Senior Staff,43274
80200,Yurii,Ghazalie,1998-10-29,Engineer,59857
80207,Yifei,Matzov,1992-10-05,Senior Staff,40000
80208,Elvia,Samarati,1988-04-28,Technique Leader,42186
80223,Sadegh,Einsfeld,1991-02-11,Senior Engineer,45975
80224,Reinhard,Zaiane,1988-05-19,Senior Staff,54345
80225,Shridhar,Malabarba,2001-02-27,Senior Staff,50529
80227,Kerryn,Braunschweig,1995-08-06,Senior Engineer,54326
80233,Arlette,Noriega,2000-07-21,Senior Engineer,67272
80237,Sanjit,Suwa,1997-08-14,Engineer,68194
80251,Yoshinari,Kitai,1993-06-12,Senior Engineer,42153
80257,Xiaoshan,Pehl,1999-12-18,Engineer,55707
80258,Hirochika,Hiyoshi,1995-01-11,Senior Staff,93572
80259,Haldon,Siprelle,1998-02-27,Engineer,49124
80260,Duro,Klyachko,1999-11-11,Senior Engineer,40000
80263,Gilbert,Etalle,1987-04-25,Senior Engineer,54269
80270,Fen,Jonsson,1998-03-07,Senior Staff,95653
80272,Vasilis,Socorro,1998-10-30,Senior Engineer,50965
80273,Yongdong,Varman,1997-01-08,Staff,55958
80279,Berhard,Carrera,1997-06-23,Senior Engineer,46038
80280,Trygve,Doering,1994-09-16,Senior Staff,40000
80286,Martial,Lubachevsky,1997-05-19,Senior Staff,74388
80288,Teiji,Rousseau,1994-03-19,Senior Engineer,40000
80294,Siamak,Boudaillier,1989-04-13,Senior Staff,60168
80295,Mack,Neimat,1999-09-25,Engineer,54634
80307,Paraskevi,Casley,1999-07-21,Engineer,40000
80318,Angus,Schneeberger,1996-01-26,Senior Engineer,40000
80322,Xumin,Rossi,1996-07-03,Staff,40000
80325,Bingning,Gruenwald,2001-01-03,Senior Staff,67939
80326,Caolyn,Rosca,1999-04-07,Staff,76342
80328,Satyanarayana,Basart,1996-11-16,Senior Engineer,64516
80332,Behnaam,Masand,2001-08-16,Senior Staff,52246
80338,Marsha,Oskamp,1999-01-07,Senior Staff,52275
80341,Premal,Luef,1998-02-15,Senior Staff,69377
80346,Conal,Parveen,1993-08-24,Senior Staff,40000
80352,Arunachalam,Melton,1995-11-14,Senior Staff,91102
80358,Mong,Huhdanpaa,1999-08-03,Senior Engineer,76727
80370,Honesty,Weiland,1991-11-12,Senior Engineer,50654
80372,Aleksandar,Khasidashvili,1999-06-07,Staff,87200
80374,Junichi,Rusterholz,1990-11-03,Senior Engineer,58505
80375,Atreye,Peac,1991-05-06,Senior Engineer,40000
80376,Maha,Hofman,1997-04-29,Staff,52462
80380,Neven,Selvestrel,1999-12-02,Staff,41790
80386,Rosine,Peot,1998-11-10,Engineer,49344
80389,Pasqua,Rosiles,1998-06-12,Engineer,40000
80392,Utpal,Frezza,1997-10-27,Senior Engineer,75792
80395,Oscal,Bondorf,1997-12-15,Staff,40000
80409,Ebbe,Lanzelotte,1993-09-17,Senior Staff,40000
80410,Toong,Weiland,1998-03-01,Staff,42522
80414,Heejo,Radhakrishnan,2000-09-10,Senior Engineer,40000
80419,Satyanarayana,Erde,1998-07-08,Senior Staff,56031
80422,Luerbio,Pollock,1995-06-14,Senior Staff,40611
80425,Oksana,Roison,1997-12-29,Senior Staff,40000
80429,Prodip,Suermann,1986-03-02,Senior Staff,75560
80437,Irena,Peroz,1998-11-18,Senior Staff,69248
80439,Jolita,Calkin,1994-04-04,Senior Engineer,46011
80445,Tremaine,Schaaf,1998-02-17,Senior Engineer,52939
80451,Raimond,Undy,1993-11-12,Senior Engineer,59944
80455,Guther,Murrill,1996-09-06,Senior Engineer,55294
80456,Aemilian,Gire,1998-04-17,Senior Engineer,40000
80462,Duri,Kriebel,1999-10-09,Senior Engineer,40000
80466,Takahiro,Bala,1996-02-17,Staff,78991
80467,Zhongwei,Bail,1994-12-04,Staff,47541
80477,Kwee,Cesareni,1997-10-16,Senior Engineer,76640
80478,Goh,Whittlesey,1997-12-27,Senior Engineer,47761
80479,Sanjay,Kragelund,2002-01-24,Senior Staff,40000
80489,Mani,Billawala,1985-09-09,Senior Engineer,43454
80492,Subhada,Ranta,1997-10-11,Senior Engineer,50226
80498,Arve,Pokrovskii,1996-09-27,Senior Staff,40000
80509,Jovan,Detkin,2002-02-06,Senior Engineer,72428
80512,Heping,Erez,1998-04-04,Engineer,50254
80520,Lijie,Crelier,1986-05-20,Senior Engineer,47245
80522,Sedat,Sadowsky,1998-08-25,Senior Staff,55396
80528,Spyrose,Pews,1998-03-16,Staff,40000
80540,Valdiodio,Lanzelotte,1999-12-03,Senior Engineer,40000
80546,Fuqing,Matzel,1994-09-02,Senior Staff,47440
80550,Candida,Cullers,1991-06-26,Senior Engineer,45292
80551,Mabry,Delgrossi,1995-08-08,Senior Staff,49073
80561,Visit,Solovay,1993-06-30,Senior Engineer,45289
80564,Guoxiang,Meriste,1996-06-19,Assistant Engineer,40000
80570,Martial,Zykh,1996-07-28,Senior Engineer,40000
80572,Sariel,Kitai,1998-09-15,Senior Engineer,49708
80578,Chuanti,Binkley,1997-08-06,Senior Engineer,40000
80589,Chenxi,Bain,1996-05-30,Senior Engineer,40000
80597,Sadok,VanScheik,2000-04-12,Senior Staff,40000
80600,Yongdong,Werthner,1992-06-30,Senior Engineer,40000
80610,Dmitry,Wuwongse,1998-01-23,Engineer,48735
80611,Pramod,Sifakis,1997-04-19,Senior Engineer,45634
80617,Prodip,Kugler,1994-11-05,Senior Engineer,42118
80620,Filipe,Gischer,1998-12-02,Senior Staff,79127
80628,Felicidad,Benaini,2000-08-14,Senior Staff,59678
80630,Mani,Kamble,1996-04-23,Senior Engineer,41854
80637,Eishiro,Larfeldt,1985-08-01,Senior Staff,57520
80639,Uma,Mahnke,1993-07-20,Senior Engineer,42135
80651,Shooichi,Plessier,1997-11-10,Engineer,40000
80653,Chiranjit,Kavanagh,1988-06-03,Senior Engineer,64113
80661,Adas,Gruenwald,1992-05-07,Technique Leader,68187
80663,Yunming,Morrin,1997-12-26,Senior Engineer,54829
80665,Angel,Angot,1993-06-06,Senior Staff,64768
80673,Duke,Gustavson,1998-01-20,Senior Staff,63886
80675,Renee,Ertl,1999-07-07,Engineer,51633
80681,Gina,DasSarma,1993-01-15,Senior Engineer,40000
80683,Miyeon,Sethi,1994-12-14,Senior Engineer,40000
80684,Takanari,VanScheik,1994-01-21,Senior Staff,46101
80687,Pradeep,Calkin,1999-05-20,Senior Engineer,44986
80689,Hitofumi,Conta,1995-08-15,Senior Engineer,44594
80702,Percy,Simmel,1990-11-29,Senior Engineer,58203
80703,Randy,Nitsche,1996-03-05,Staff,69257
80705,Josyula,Shackel,1986-10-07,Technique Leader,50573
80717,Valdiodio,Frijda,1993-01-06,Senior Staff,52990
80721,Katsuyuki,Delgrossi,1995-03-04,Senior Staff,52063
80722,Yechiam,Bage,1991-04-08,Senior Staff,70299
80724,Yongdong,Casperson,1987-05-01,Senior Staff,52024
80729,Lansing,Brandsma,1999-12-17,Engineer,40000
80740,Shuzo,Kermarrec,1993-05-20,Senior Engineer,40000
80744,Badri,Bauknecht,1998-03-25,Staff,68891
80746,Keiichiro,Jahnichen,1997-07-02,Senior Engineer,53520
80751,Zhensheng,Swan,1991-09-12,Senior Engineer,49178
80758,Heejo,Rathonyi,2002-01-23,Senior Engineer,40000
80761,Aiichiro,Mandelberg,2000-08-25,Senior Staff,54435
80762,Adit,Verhoeff,1996-07-27,Senior Engineer,60070
80768,Shounak,Janocha,1989-06-11,Technique Leader,40000
80774,Vishv,Pollacia,2001-12-21,Senior Engineer,56559
80777,Xinglin,Belinskaya,2000-05-19,Senior Staff,75068
80779,Aamod,Andreotta,1995-05-06,Senior Staff,69353
80781,Xudong,Danner,1998-07-25,Senior Engineer,40000
80782,Danco,Gerteisen,1995-07-19,Senior Staff,46826
80783,Akeel,Huxford,1989-06-30,Senior Staff,76432
80786,Denis,Sridhar,1998-07-24,Senior Engineer,55003
80790,Stepehn,Unno,1998-01-22,Senior Engineer,42243
80791,Takahiro,Molenkamp,1994-02-28,Senior Engineer,63921
80797,Katsuo,Kohling,1996-11-17,Senior Engineer,50180
80801,Bluma,Ambroszkiewicz,2002-03-09,Senior Staff,71885
80805,Mabo,Lorin,1996-04-10,Senior Engineer,40000
80810,Khalid,Merkl,1999-07-06,Senior Staff,72305
80833,Jaihie,Demri,1985-07-13,Senior Engineer,56899
80834,Sham,Reinhart,1993-10-28,Senior Engineer,63749
80835,Jolita,Delgrossi,1997-06-11,Senior Engineer,63227
80837,Nigel,Tempesti,1998-07-19,Senior Staff,90827
80838,Cheong,Ruemmler,1988-08-28,Senior Staff,68639
80842,Jasminko,Peroz,2001-01-25,Senior Engineer,55019
80843,Utpal,Rubsam,1998-08-22,Senior Engineer,61765
80844,Brigham,Hellwagner,1986-01-29,Technique Leader,40000
80846,Bader,Lodder,2002-05-16,Senior Engineer,43670
80851,Sastry,Escriba,1995-09-30,Senior Engineer,40000
80852,Yannis,Randt,1988-10-30,Technique Leader,66650
80853,Claude,Bashian,1996-05-09,Senior Staff,56618
80856,Moss,Kaiserswerth,2000-12-05,Senior Staff,71688
80859,Ottavia,Krychniak,1995-10-05,Senior Engineer,76924
80860,Kayoko,Smeets,1999-04-23,Engineer,40834
80862,Serenella,Improta,1996-06-11,Senior Staff,62569
80866,Billur,Menhardt,1998-11-30,Engineer,58307
80869,Ishfaq,Randi,1998-07-08,Senior Engineer,40000
80873,Marsal,Nishimukai,1994-08-26,Senior Staff,100843
80875,Yishai,Kandlur,1996-05-10,Staff,47537
80882,Sumant,Hopewell,1996-04-04,Senior Staff,60594
80892,Kaijung,Nourani,1995-08-26,Engineer,40000
80894,Kousuke,Georgakopoulos,1986-07-03,Senior Engineer,42225
80896,Paloma,Hardjono,1985-05-16,Senior Staff,40000
80897,Hitomi,Nooteboom,1998-10-11,Senior Engineer,41992
80903,Yakichi,Dulin,1997-04-18,Senior Engineer,61890
80908,Kyoichi,Erie,1990-08-12,Senior Engineer,55319
80910,Oguz,Terekhov,1995-09-25,Staff,68934
80914,Rosalyn,Denny,1992-08-02,Senior Staff,50087
80917,Jungsoon,Besselaar,1990-02-13,Senior Engineer,47136
80920,Vatsa,Brender,1995-04-30,Staff,40153
80922,Aram,Kuzuoka,2001-05-27,Senior Engineer,55774
80923,Yaghout,Kavanagh,2001-01-17,Senior Staff,40000
80929,Nevio,Kading,1996-12-04,Senior Staff,44744
80933,Anoosh,Dredge,1996-09-09,Engineer,70267
80935,Terresa,Birke,1993-03-10,Senior Engineer,77408
80937,Chikako,Jiang,1985-08-09,Senior Staff,105373
80940,Kazuhiko,Smeets,1997-10-01,Senior Engineer,67764
80945,Rayond,Ruemmler,2000-05-18,Senior Engineer,59139
80947,Jaewon,Peha,1991-09-07,Technique Leader,40000
80955,Marc,Fioravanti,1988-11-12,Senior Staff,40000
80962,Ute,Broder,1995-08-17,Senior Staff,52745
80971,Mountaz,Rijckaert,1992-07-21,Senior Engineer,40000
80977,Mana,Danner,1994-12-18,Senior Engineer,59776
80979,Stein,Rodier,1994-01-07,Senior Staff,65306
80980,Hyuncheol,Stentiford,1991-08-23,Senior Staff,40000
80981,Fumitake,Niizuma,1993-11-18,Assistant Engineer,40000
80984,Arunas,Emmart,2001-03-16,Senior Staff,78291
80987,Zito,Gulla,2000-01-04,Senior Engineer,40000
80991,Marco,Schreiter,1995-08-29,Senior Staff,61478
80998,Leandro,Lampe,2001-05-01,Senior Engineer,56045
81000,Neelam,Thisen,2001-10-23,Senior Engineer,51362
81001,Toshimori,Krider,1995-12-05,Senior Staff,46872
81005,Xiahua,Rubsam,1999-12-05,Senior Engineer,46079
81007,Mototsugu,Rande,1996-03-06,Staff,54177
81008,Bartek,Heydon,1996-11-09,Assistant Engineer,45306
81009,Shichao,Ozeki,2001-03-05,Senior Engineer,40000
81011,Tommaso,Onuegbe,1996-06-14,Senior Staff,40000
81015,Marke,Breugel,1992-12-09,Senior Engineer,52989
81018,Angus,Haldar,2002-06-08,Senior Engineer,43821
81035,Hsiangchu,Boreale,1993-10-03,Senior Staff,42922
81036,Alassane,Fargier,1986-12-20,Technique Leader,40000
81038,Xiaoheng,Claffy,2001-06-20,Senior Engineer,40000
